Label,Count,Avg_Flesch_Kincaid,Avg_Dale_Chall,Avg_Coleman_Liau,Avg_Spache,Profanity_Rate,Unsafe_URL_Rate
Children (Original),1470,9.766467499466978,11.186957165290139,10.78417891780805,5.79350408194458,0.023809523809523808,0.0
Children (For Kids),1470,8.862729545929547,10.604555102531593,9.745391597752272,5.428712670216169,0.0326530612244898,0.0
Adults (Original),1510,10.525019425882418,11.836627862885448,12.197036136045293,6.019146060388945,0.041721854304635764,0.0
